% Model:              Dam breaking on a column.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 13 2023, 01:23
% Table:              Probe Table 1 - 
% Time (s)                                        Pressure force on the column (N), Boundary Probe 1
0                                                 -2.168404344971009E-18
0.0023893098507135713                             -8.673617379884035E-19
0.0047786197014271425                             -8.673617379884035E-19
0.007167929552140713                              -8.673617379884035E-19
0.009557239402854283                              -8.673617379884035E-19
0.011824559177329807                              -8.673617379884035E-19
0.014076443221654331                              -8.673617379884035E-19
0.01625289065608231                               -8.673617379884035E-19
0.01841813172442651                               -8.673617379884035E-19
0.020571627109701243                              -8.673617379884035E-19
0.02270190132669877                               -8.673617379884035E-19
0.024809577807864018                              -8.673617379884035E-19
0.026911110798287084                              -8.673617379884035E-19
0.02901103304300152                               -8.673617379884035E-19
0.031111398752540625                              -8.673617379884035E-19
0.033212330347335                                 -8.673617379884035E-19
0.03531526025138208                               -8.673617379884035E-19
0.037419490062222005                              -8.673617379884035E-19
0.03952490447022831                               -8.673617379884035E-19
0.04163139751867688                               -8.673617379884035E-19
0.0437380490054162                                -8.673617379884035E-19
0.04582325094474568                               -8.673617379884035E-19
0.04785051893958554                               -8.673617379884035E-19
0.04976936885374416                               -8.673617379884035E-19
0.05161742268194747                               -8.673617379884035E-19
0.05345867557059804                               -8.673617379884035E-19
0.05516927296183532                               -8.673617379884035E-19
0.056841960622337186                              -8.673617379884035E-19
0.058488889379974304                              -8.673617379884035E-19
0.0601184127196648                                -8.673617379884035E-19
0.061737125701691854                              -8.673617379884035E-19
0.06334733481649485                               -8.673617379884035E-19
0.06495257863574284                               -8.673617379884035E-19
0.06655469114911425                               -8.673617379884035E-19
0.06815491013209689                               -8.673617379884035E-19
0.06975407009928844                               -8.673617379884035E-19
0.07135273608191006                               -8.673617379884035E-19
0.07295136756041812                               -8.673617379884035E-19
0.07455008189010079                               -8.673617379884035E-19
0.07614913935128426                               -8.673617379884035E-19
0.07774867324012072                               -8.673617379884035E-19
0.07934878151458605                               -8.673617379884035E-19
0.08094953795916039                               -8.673617379884035E-19
0.08255057890041066                               -8.673617379884035E-19
0.08415279132113528                               -8.673617379884035E-19
0.08575579184480749                               -8.673617379884035E-19
0.08735961172383838                               -8.673617379884035E-19
0.08896427725184668                               -8.673617379884035E-19
0.09056981045026641                               -8.673617379884035E-19
0.09217591624031432                               -8.673617379884035E-19
0.09378323645010268                               -8.673617379884035E-19
0.09539147007990688                               -8.673617379884035E-19
0.09700062702180157                               -8.673617379884035E-19
0.0986107146887753                                -8.673617379884035E-19
0.1002217381633565                                -8.673617379884035E-19
0.10183357221068079                               -8.673617379884035E-19
0.10344647424633094                               -8.673617379884035E-19
0.10506031556627318                               -8.673617379884035E-19
0.10667509417426335                               -8.673617379884035E-19
0.1082908067087217                                -8.673617379884035E-19
0.10990744865447113                               -8.673617379884035E-19
0.11152501447736715                               -8.673617379884035E-19
0.11314263300073658                               -8.673617379884035E-19
0.1147620261347159                                -8.673617379884035E-19
0.11638232176354696                               -8.673617379884035E-19
0.11800351147947526                               -8.673617379884035E-19
0.1196255864248391                                -8.673617379884035E-19
0.12124853739490701                               -8.673617379884035E-19
0.12287168921899508                               -8.673617379884035E-19
0.1244963631064325                                -8.673617379884035E-19
0.1261218838524285                                -8.673617379884035E-19
0.12774824140817168                               -8.673617379884035E-19
0.12937542563363216                               -8.673617379884035E-19
0.131003426345596                                 -8.673617379884035E-19
0.1326317376387069                                -8.673617379884035E-19
0.1342613405286371                                -8.673617379884035E-19
0.13589172940003752                               -8.673617379884035E-19
0.13752289417372177                               -8.673617379884035E-19
0.13915482483288194                               -8.673617379884035E-19
0.14078751143920765                               -8.673617379884035E-19
0.14242058543315167                               -8.673617379884035E-19
0.14405475433400197                               -8.673617379884035E-19
0.1456896499576523                                -8.673617379884035E-19
0.1473252627767304                                -8.673617379884035E-19
0.14896158337983176                               -8.673617379884035E-19
0.15054241007151542                               -8.673617379884035E-19
0.152092749698272                                 6.071532165918825E-18
0.15359679864388487                               5.117434254131581E-17
0.1550786596378197                                9.974659986866641E-17
0.15654492920590066                               1.7954387976359953E-16
0.15800029263803936                               2.8362728832220796E-16
0.15944806386701552                               4.640385298237959E-16
0.16089056803099894                               7.554720737878995E-16
0.16233157671546145                               1.227316859253591E-15
0.16376788200616016                               1.9801868478275253E-15
0.16520239882504875                               3.2291877505308264E-15
0.16663563431078118                               5.258814217423691E-15
0.16806792702332143                               8.568666609587439E-15
0.169499501557364                                 1.3967126066827262E-14
0.17093050630849232                               2.2772582430885535E-14
0.17236134019716007                               3.7104867789405915E-14
0.17379146639826443                               6.045077632910179E-14
0.17522122973371                                  9.844468989994581E-14
0.17665066051455042                               1.6023900956119164E-13
0.1780797806483083                                2.6075582665319175E-13
0.17950860696594734                               4.24166778090207E-13
0.1809371533600059                                6.898188617543433E-13
0.18236560682141828                               1.121712965568289E-12
0.18379362947662412                               1.8238527008107575E-12
0.18522140730008244                               2.9656615704864997E-12
0.18664895151659006                               4.823054282343531E-12
0.18807627344009212                               7.845639936332471E-12
0.18950338450380685                               1.2766623695703583E-11
0.19093029624150368                               2.0782423525156357E-11
0.19235714177891788                               3.384768420405804E-11
0.19378368963116122                               5.515068176448201E-11
0.1952100728956883                                8.990524557467294E-11
0.19663630302725946                               1.4663191060665381E-10
0.19806239134881978                               2.3926214048203276E-10
0.199488349023706                                 3.905749534557912E-10
0.20091418703364877                               6.378161115580538E-10
0.20233998518402066                               1.0419056823904316E-9
0.20376561602131923                               1.7023562620330224E-9
